,000001.SZ
2018-08-28,108.0314
2018-08-29,108.0314
2018-08-30,108.0314
2018-08-31,108.0314
2018-09-03,108.0314
2018-09-04,108.0314
2018-09-05,108.0314
2018-09-06,108.0314
2018-09-07,108.0314
2018-09-10,108.0314
2018-09-11,108.0314
2018-09-12,108.0314
2018-09-13,108.0314
2018-09-14,108.0314
2018-09-17,108.0314
2018-09-18,108.0314
2018-09-19,108.0314
2018-09-20,108.0314
2018-09-21,108.0314
2018-09-25,108.0314
2018-09-26,108.0314
2018-09-27,108.0314
2018-09-28,108.0314
2018-10-08,108.0314
2018-10-09,108.0314
2018-10-10,108.0314
2018-10-11,108.0314
2018-10-12,108.0314
2018-10-15,108.0314
2018-10-16,108.0314
2018-10-17,108.0314
2018-10-18,108.0314
2018-10-19,108.0314
2018-10-22,108.0314
2018-10-23,108.0314
2018-10-24,108.0314
2018-10-25,108.0314
2018-10-26,108.0314
2018-10-29,108.0314
2018-10-30,108.0314
2018-10-31,108.0314
2018-11-01,108.0314
2018-11-02,108.0314
2018-11-05,108.0314
2018-11-06,108.0314
2018-11-07,108.0314
2018-11-08,108.0314
2018-11-09,108.0314
2018-11-12,108.0314
2018-11-13,108.0314
2018-11-14,108.0314
2018-11-15,108.0314
2018-11-16,108.0314
2018-11-19,108.0314
2018-11-20,108.0314
2018-11-21,108.0314
2018-11-22,108.0314
2018-11-23,108.0314
2018-11-26,108.0314
2018-11-27,108.0314
2018-11-28,108.0314
2018-11-29,108.0314
2018-11-30,108.0314
2018-12-03,108.0314
2018-12-04,108.0314
2018-12-05,108.0314
2018-12-06,108.0314
2018-12-07,108.0314
2018-12-10,108.0314
2018-12-11,108.0314
2018-12-12,108.0314
2018-12-13,108.0314
2018-12-14,108.0314
2018-12-17,108.0314
2018-12-18,108.0314
2018-12-19,108.0314
2018-12-20,108.0314
2018-12-21,108.0314
2018-12-24,108.0314
2018-12-25,108.0314
2018-12-26,108.0314
2018-12-27,108.0314
2018-12-28,108.0314
2019-01-02,108.0314
2019-01-03,108.0314
2019-01-04,108.0314
2019-01-07,108.0314
2019-01-08,108.0314
