,000001.SZ
2018-10-08,10.45
2018-10-09,10.56
2018-10-10,10.45
2018-10-11,9.86
2018-10-12,10.3
2018-10-15,10.11
2018-10-16,10.37
2018-10-17,10.33
2018-10-18,10.09
2018-10-19,10.76
2018-10-22,11.15
2018-10-23,10.84
2018-10-24,11.04
2018-10-25,11.29
2018-10-26,11.18
2018-10-29,10.75
2018-10-30,10.9
2018-10-31,10.91
2018-11-01,10.83
2018-11-02,11.09
2018-11-05,10.92
2018-11-06,10.84
2018-11-07,10.81
2018-11-08,10.89
2018-11-09,10.55
2018-11-12,10.56
2018-11-13,10.54
2018-11-14,10.44
2018-11-15,10.62
2018-11-16,10.57
2018-11-19,10.85
2018-11-20,10.57
2018-11-21,10.61
2018-11-22,10.55
2018-11-23,10.32
2018-11-26,10.34
2018-11-27,10.18
2018-11-28,10.28
2018-11-29,10.2
2018-11-30,10.36
2018-12-03,10.59
2018-12-04,10.59
2018-12-05,10.45
2018-12-06,10.25
2018-12-07,10.28
2018-12-10,10.17
2018-12-11,10.23
2018-12-12,10.24
2018-12-13,10.39
2018-12-14,10.17
2018-12-17,10.29
2018-12-18,10.12
2018-12-19,9.94
2018-12-20,9.71
2018-12-21,9.45
2018-12-24,9.42
2018-12-25,9.34
2018-12-26,9.3
2018-12-27,9.28
2018-12-28,9.38
2019-01-02,9.19
2019-01-03,9.28
2019-01-04,9.75
2019-01-07,9.74
2019-01-08,9.66
2019-01-09,9.94
2019-01-10,10.1
2019-01-11,10.2
2019-01-14,10.11
2019-01-15,10.24
2019-01-16,10.48
2019-01-17,10.25
2019-01-18,10.43
2019-01-21,10.34
2019-01-22,10.28
2019-01-23,10.35
2019-01-24,10.52
2019-01-25,11.0
2019-01-28,10.94
2019-01-29,11.0
2019-01-30,10.95
2019-01-31,11.1
2019-02-01,11.2
2019-02-11,11.21
2019-02-12,11.19
2019-02-13,11.38
2019-02-14,11.25
2019-02-15,10.95
2019-02-18,11.36
2019-02-19,11.27
2019-02-20,11.41
2019-02-21,11.36
2019-02-22,11.54
2019-02-25,12.55
2019-02-26,12.2
2019-02-27,12.4
2019-02-28,12.36
2019-03-01,12.76
2019-03-04,12.99
2019-03-05,13.06
2019-03-06,13.08
2019-03-07,12.74
2019-03-08,12.3
2019-03-11,12.32
2019-03-12,12.36
2019-03-13,12.37
2019-03-14,12.43
2019-03-15,12.5
2019-03-18,12.91
2019-03-19,12.79
2019-03-20,12.75
2019-03-21,12.69
2019-03-22,12.59
2019-03-25,12.11
2019-03-26,12.1
2019-03-27,12.38
2019-03-28,12.22
2019-03-29,12.82
2019-04-01,13.18
2019-04-02,13.36
2019-04-03,13.44
2019-04-04,13.86
2019-04-08,13.96
2019-04-09,13.81
2019-04-10,13.73
2019-04-11,13.54
2019-04-12,13.42
2019-04-15,13.69
2019-04-16,14.58
2019-04-17,14.35
2019-04-18,14.34
2019-04-19,14.73
2019-04-22,14.15
2019-04-23,14.07
2019-04-24,14.44
2019-04-25,14.13
2019-04-26,13.79
2019-04-29,14.1
2019-04-30,13.85
2019-05-06,12.87
2019-05-07,12.95
2019-05-08,12.6
2019-05-09,12.16
2019-05-10,12.68
2019-05-13,12.3
2019-05-14,12.49
2019-05-15,12.92
2019-05-16,12.85
2019-05-17,12.44
2019-05-20,12.38
2019-05-21,12.56
2019-05-22,12.4
2019-05-23,12.29
2019-05-24,12.35
2019-05-27,12.37
2019-05-28,12.49
2019-05-29,12.4
2019-05-30,12.22
2019-05-31,12.18
2019-06-03,11.9
2019-06-04,11.85
2019-06-05,11.97
2019-06-06,11.92
2019-06-10,12.34
2019-06-11,12.65
2019-06-12,12.57
2019-06-13,12.59
2019-06-14,12.49
2019-06-17,12.67
2019-06-18,12.8
2019-06-19,13.07
2019-06-20,13.8
2019-06-21,13.64
2019-06-24,13.69
2019-06-25,13.43
2019-06-26,13.37
2019-06-27,13.71
2019-06-28,13.78
2019-07-01,13.93
2019-07-02,14.18
2019-07-03,14.01
2019-07-04,13.99
2019-07-05,13.92
2019-07-08,13.59
2019-07-09,13.59
2019-07-10,13.56
2019-07-11,13.54
2019-07-12,14.12
2019-07-15,14.0
2019-07-16,13.75
2019-07-17,13.69
2019-07-18,13.67
2019-07-19,13.99
2019-07-22,13.85
2019-07-23,13.76
2019-07-24,13.88
2019-07-25,14.2
2019-07-26,14.23
2019-07-29,14.29
2019-07-30,14.37
2019-07-31,14.13
2019-08-01,14.1
2019-08-02,13.74
2019-08-05,13.35
2019-08-06,13.37
2019-08-07,13.54
2019-08-08,14.38
2019-08-09,14.52
2019-08-12,15.12
2019-08-13,14.89
2019-08-14,14.97
2019-08-15,14.94
2019-08-16,14.9
2019-08-19,14.92
2019-08-20,14.99
2019-08-21,14.45
2019-08-22,14.31
2019-08-23,14.65
2019-08-26,14.25
2019-08-27,14.31
2019-08-28,14.27
2019-08-29,14.13
2019-08-30,14.16
2019-09-02,14.45
2019-09-03,14.3
2019-09-04,14.44
2019-09-05,14.58
2019-09-06,14.81
2019-09-09,14.69
2019-09-10,14.55
2019-09-11,14.56
2019-09-12,14.68
2019-09-16,14.45
2019-09-17,14.24
2019-09-18,14.41
2019-09-19,14.84
2019-09-20,15.34
2019-09-23,15.38
2019-09-24,15.18
2019-09-25,15.75
2019-09-26,15.71
2019-09-27,15.9
2019-09-30,15.59
2019-10-08,16.2
2019-10-09,16.25
2019-10-10,16.24
2019-10-11,16.81
2019-10-14,17.22
2019-10-15,17.18
2019-10-16,16.79
2019-10-17,16.7
2019-10-18,16.51
2019-10-21,16.89
2019-10-22,16.45
2019-10-23,16.45
2019-10-24,16.87
2019-10-25,16.88
2019-10-28,16.66
2019-10-29,16.91
2019-10-30,16.43
2019-10-31,16.26
2019-11-01,16.86
2019-11-04,16.92
2019-11-05,17.15
2019-11-06,16.96
2019-11-07,16.89
2019-11-08,16.65
2019-11-11,16.28
2019-11-12,16.33
2019-11-13,16.33
2019-11-14,16.32
2019-11-15,16.34
2019-11-18,16.45
2019-11-19,16.41
2019-11-20,15.85
2019-11-21,15.86
2019-11-22,15.59
2019-11-25,15.8
2019-11-26,15.62
2019-11-27,15.47
2019-11-28,15.49
2019-11-29,15.29
2019-12-02,15.36
2019-12-03,15.45
2019-12-04,15.31
2019-12-05,15.43
2019-12-06,15.6
2019-12-09,15.41
2019-12-10,15.33
2019-12-11,15.66
2019-12-12,15.6
2019-12-13,16.12
2019-12-16,16.13
2019-12-17,16.5
2019-12-18,16.46
